www_address,localIdDate,displayValue
businessinsider.com.pl,04-08-2023-16-41-52,0.001
pogoda.onet.pl,04-08-2023-16-41-52,0.002
przegladsportowy.onet.pl,04-08-2023-16-41-52,0.002
wiadomosci.onet.pl,04-08-2023-16-41-52,0.01
www.bbc.com/,04-08-2023-16-41-52,0
www.bbc.com/news,04-08-2023-16-41-52,0
www.onet.pl,04-08-2023-16-41-52,0.001
businessinsider.com.pl,04-08-2023-16-41-52,0.001
pogoda.onet.pl,04-08-2023-16-41-52,0.002
przegladsportowy.onet.pl,04-08-2023-16-41-52,0.002
wiadomosci.onet.pl,04-08-2023-16-41-52,0.01
www.bbc.com/,04-08-2023-16-41-52,0
www.bbc.com/news,04-08-2023-16-41-52,0
www.onet.pl,04-08-2023-16-41-52,0.001
businessinsider.com.pl,04-08-2023-16-41-52,0.001
pogoda.onet.pl,04-08-2023-16-41-52,0.002
przegladsportowy.onet.pl,04-08-2023-16-41-52,0.002
wiadomosci.onet.pl,04-08-2023-16-41-52,0.01
www.bbc.com/,04-08-2023-16-41-52,0
www.bbc.com/news,04-08-2023-16-41-52,0
www.onet.pl,04-08-2023-16-41-52,0.001businessinsider.com.pl,04-08-2023-16-56-33,0.006
pogoda.onet.pl,04-08-2023-16-56-33,0.007
przegladsportowy.onet.pl,04-08-2023-16-56-33,0.006
wiadomosci.onet.pl,04-08-2023-16-56-33,0
www.bbc.com,04-08-2023-16-56-33,0
www.bbc.com/news,04-08-2023-16-56-33,0.02
www.onet.pl,04-08-2023-16-56-33,0.008businessinsider.com.pl,04-08-2023-16-56-18,0.001
pogoda.onet.pl,04-08-2023-16-56-18,0.002
przegladsportowy.onet.pl,04-08-2023-16-56-18,0.002
wiadomosci.onet.pl,04-08-2023-16-56-18,0.01
www.bbc.com,04-08-2023-16-56-18,0.089
www.bbc.com/news,04-08-2023-16-56-18,0.089
www.onet.pl,04-08-2023-16-56-18,0.001